ticker,sector,industry
GEHC,Healthcare,Health Information Services
GEV,Industrials,Specialty Industrial Machinery
GM,Consumer Cyclical,Auto Manufacturers
GRMN,Technology,Scientific & Technical Instruments
GS,Financial Services,Capital Markets
GWW,Industrials,Industrial Distribution
HBANL,Financial Services,Banks - Regional
HBANM,Financial Services,Banks - Regional
HCA,Healthcare,Medical Care Facilities
HD,Consumer Cyclical,Home Improvement Retail
HES,Energy,Oil & Gas E&P
HIG,Financial Services,Insurance - Property & Casualty
HLT,Consumer Cyclical,Lodging
HON,Industrials,Conglomerates
HOOD,Financial Services,Capital Markets
HPQ,Technology,Computer Hardware
HSBC,Financial Services,Banks - Diversified
HUBS,Technology,Software - Application
HUM,Healthcare,Healthcare Plans
HWM,Industrials,Aerospace & Defense
IBKR,Financial Services,Capital Markets
IBM,Technology,Information Technology Services
ICE,Financial Services,Financial Data & Stock Exchanges
IDXX,Healthcare,Diagnostics & Research
INFY,Technology,Information Technology Services
INTC,Technology,Semiconductors
IOT,Technology,Software - Infrastructure
IQV,Healthcare,Diagnostics & Research
IR,Industrials,Specialty Industrial Machinery
IRM,Real Estate,REIT - Specialty
ISRG,Healthcare,Medical Instruments & Supplies
ITW,Industrials,Specialty Industrial Machinery
JBL,Technology,Electronic Components
JD,Consumer Cyclical,Internet Retail
JNJ,Healthcare,Drug Manufacturers - General
JPM,Financial Services,Banks - Diversified
KDP,Consumer Defensive,Beverages - Non-Alcoholic
KEYS,Technology,Scientific & Technical Instruments
KHC,Consumer Defensive,Packaged Foods
KLAC,Technology,Semiconductor Equipment & Materials
KMB,Consumer Defensive,Household & Personal Products
KO,Consumer Defensive,Beverages - Non-Alcoholic
KR,Consumer Defensive,Grocery Stores
KVUE,Consumer Defensive,Household & Personal Products
LHX,Industrials,Aerospace & Defense
LIN,Basic Materials,Specialty Chemicals
LLY,Healthcare,Drug Manufacturers - General
LNG,Energy,Oil & Gas Midstream
LOW,Consumer Cyclical,Home Improvement Retail
LULU,Consumer Cyclical,Apparel Retail
LVS,Consumer Cyclical,Resorts & Casinos
LYV,Communication Services,Entertainment
MA,Financial Services,Credit Services
MAR,Consumer Cyclical,Lodging
MCO,Financial Services,Financial Data & Stock Exchanges
MDLZ,Consumer Defensive,Confectioners
MELI,Consumer Cyclical,Internet Retail
MMM,Industrials,Conglomerates
MNST,Consumer Defensive,Beverages - Non-Alcoholic
MO,Consumer Defensive,Tobacco
MPWR,Technology,Semiconductors
MRVL,Technology,Semiconductors
MSCI,Financial Services,Financial Data & Stock Exchanges
MSI,Technology,Communication Equipment
MTB,Financial Services,Banks - Regional
MU,Technology,Semiconductors
NDAQ,Financial Services,Financial Data & Stock Exchanges
NEE,Utilities,Utilities - Regulated Electric
NEM,Basic Materials,Gold
NKE,Consumer Cyclical,Footwear & Accessories
NOW,Technology,Software - Application
NRG,Utilities,Utilities - Independent Power Producers
NTES,Communication Services,Electronic Gaming & Multimedia
NTRA,Healthcare,Diagnostics & Research
NVO,Healthcare,Drug Manufacturers - General
NVS,Healthcare,Drug Manufacturers - General
ODFL,Industrials,Trucking
OKE,Energy,Oil & Gas Midstream
ONON,Consumer Cyclical,Footwear & Accessories
ORLY,Consumer Cyclical,Auto Parts
OTIS,Industrials,Specialty Industrial Machinery
OXY,Energy,Oil & Gas E&P
PANW,Technology,Software - Infrastructure
PCG,Utilities,Utilities - Regulated Electric
PDD,Consumer Cyclical,Internet Retail
PEG,Utilities,Utilities - Regulated Electric
PEP,Consumer Defensive,Beverages - Non-Alcoholic
PFE,Healthcare,Drug Manufacturers - General
PG,Consumer Defensive,Household & Personal Products
PGR,Financial Services,Insurance - Property & Casualty
PH,Industrials,Specialty Industrial Machinery
PHM,Consumer Cyclical,Residential Construction
PLD,Real Estate,REIT - Industrial
PLTR,Technology,Software - Infrastructure
PM,Consumer Defensive,Tobacco
PPG,Basic Materials,Specialty Chemicals
PSA,Real Estate,REIT - Industrial
PWR,Industrials,Engineering & Construction
PYPL,Financial Services,Credit Services
QCOM,Technology,Semiconductors
QSR,Consumer Cyclical,Restaurants
RBLX,Communication Services,Electronic Gaming & Multimedia
RCL,Consumer Cyclical,Travel Services
RDDT,Communication Services,Internet Content & Information
RJF,Financial Services,Asset Management
RKT,Financial Services,Mortgage Finance
RMD,Healthcare,Medical Instruments & Supplies
ROK,Industrials,Specialty Industrial Machinery
ROL,Consumer Cyclical,Personal Services
ROP,Technology,Software - Application
ROST,Consumer Cyclical,Apparel Retail
RSG,Industrials,Waste Management
RTX,Industrials,Aerospace & Defense
RY,Financial Services,Banks - Diversified
RYAAY,Industrials,Airlines
SAP,Technology,Software - Application
SE,Consumer Cyclical,Internet Retail
SHOP,Technology,Software - Application
SHW,Basic Materials,Specialty Chemicals
SLB,Energy,Oil & Gas Equipment & Services
SMCI,Technology,Computer Hardware
SNOW,Technology,Software - Application
SNPS,Technology,Software - Infrastructure
SNY,Healthcare,Drug Manufacturers - General
SPGI,Financial Services,Financial Data & Stock Exchanges
SPOT,Communication Services,Internet Content & Information
STM,Technology,Semiconductors
STT,Financial Services,Asset Management
STX,Technology,Computer Hardware
SYK,Healthcare,Medical Devices
SYM,Industrials,Specialty Industrial Machinery
SYY,Consumer Defensive,Food Distribution
T,Communication Services,Telecom Services
TBB,Unknown,Unknown
TCOM,Consumer Cyclical,Travel Services
TD,Financial Services,Banks - Diversified
TDG,Industrials,Aerospace & Defense
TEAM,Technology,Software - Application
TEL,Technology,Electronic Components
TGT,Consumer Defensive,Discount Stores
TJX,Consumer Cyclical,Apparel Retail
TM,Consumer Cyclical,Auto Manufacturers
TMO,Healthcare,Diagnostics & Research
TOK,Unknown,Unknown
TRI,Industrials,Specialty Business Services
TRV,Financial Services,Insurance - Property & Casualty
TSCO,Consumer Cyclical,Specialty Retail
TSLA,Consumer Cyclical,Auto Manufacturers
TT,Industrials,Building Products & Equipment
TTD,Communication Services,Advertising Agencies
TTE,Energy,Oil & Gas Integrated
TTWO,Communication Services,Electronic Gaming & Multimedia
TW,Financial Services,Capital Markets
TXN,Technology,Semiconductors
UBER,Technology,Software - Application
UL,Consumer Defensive,Household & Personal Products
UNP,Industrials,Railroads
UPS,Industrials,Integrated Freight & Logistics
USB,Financial Services,Banks - Regional
VEEV,Healthcare,Health Information Services
VG,Energy,Oil & Gas Midstream
VIK,Consumer Cyclical,Travel Services
VLO,Energy,Oil & Gas Refining & Marketing
VRSK,Industrials,Consulting Services
VRT,Industrials,Electrical Equipment & Parts
VRTX,Healthcare,Biotechnology
VST,Utilities,Utilities - Independent Power Producers
VZ,Communication Services,Telecom Services
WBD,Communication Services,Entertainment
WELL,Real Estate,REIT - Healthcare Facilities
WM,Industrials,Waste Management
WRB,Financial Services,Insurance - Property & Casualty
WTW,Financial Services,Insurance Brokers
XEL,Utilities,Utilities - Regulated Electric
XOM,Energy,Oil & Gas Integrated
YUM,Consumer Cyclical,Restaurants
ZM,Technology,Software - Application
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic
